10 1144
20 2374
30 3604
40 4834
50 6064
60 7294
70 8524
80 9754
90 10984
100 12214
110 13444
120 14674
130 15904
140 17134
150 18364
160 19594
170 20824
180 22054
190 23284
200 24514
100 12214
200 24514
300 36814
400 49114
500 61414
600 73714
700 86014
800 98314
900 110614
1000 122914
1100 135214
1200 147514
1300 159814
1400 172114
1500 184414
1600 196714
1700 209014
1800 221314
1900 233614
2000 245914
1000 122914
2000 245914
3000 368914
4000 491914
5000 614914
6000 737914
7000 860914
8000 983914
9000 1106914
10000 1229914
