10 1155
20 2653
30 4349
40 5982
50 7813
60 9707
70 11601
80 13342
90 15317
100 17292
110 19150
120 21179
130 23118
140 25093
150 27149
160 29034
170 31207
180 33029
190 35148
200 37285
100 17292
200 37285
300 57836
400 78873
500 100198
600 121685
700 143487
800 165253
900 187217
1000 209262
1100 231496
1200 253541
1300 275919
1400 298126
1500 320504
1600 342936
1700 365422
1800 388052
1900 410592
2000 433213
1000 209262
2000 433213
3000 660548
4000 890088
5000 1121050
6000 1353002
7000 1585620
8000 1818922
9000 2052980
10000 2287317
