10 463
20 1723
30 3783
40 6643
50 10303
60 14763
70 20023
80 26083
90 32943
100 40603
110 49063
120 58323
130 68383
140 79243
150 90903
160 103363
170 116623
180 130683
190 145543
200 161203
100 40603
200 161203
300 361803
400 642403
500 1003003
600 1443603
700 1964203
800 2564803
900 3245403
1000 4006003
1100 4846603
1200 5767203
1300 6767803
1400 7848403
1500 9009003
1600 10249603
1700 11570203
1800 12970803
1900 14451403
2000 16012003
1000 4006003
2000 16012003
3000 36018003
4000 64024003
5000 100030003
6000 144036003
7000 196042003
8000 256048003
9000 324054003
10000 400060003
